csv
Fecha,N.Fact,N.Dev,Venta Neta,Impuestos,Crédito,Contado,Adel/Aplicados,Cobros,Total Ingresos
07/01/25,17,1,31341.20,5014.60,0.00,37211.37,0.00,0.00,0.00
08/01/25,28,2,41059.73,6569.54,-159.78,48578.14,0.00,0.00,0.00
09/01/25,9,0,7676.35,1228.22,0.00,9082.50,0.00,0.00,0.00
11/01/25,21,1,26898.87,4303.80,0.00,31644.15,0.00,0.00,0.00
13/01/25,13,1,65512.08,10481.93,0.00,78057.17,0.00,0.00,0.00
14/01/25,25,1,51460.96,8233.74,0.00,60774.11,0.00,0.00,0.00
15/01/25,27,2,49094.76,7855.18,0.00,58287.85,0.00,0.00,0.00
16/01/25,16,0,29724.59,4755.95,0.00,34854.31,0.00,0.00,0.00
17/01/25,15,1,29166.17,4666.58,0.00,34374.06,0.00,0.00,0.00
18/01/25,16,0,12087.02,1933.94,0.00,14186.51,0.00,0.00,0.00
20/01/25,14,1,17915.58,2866.48,0.00,20749.62,0.00,0.00,0.00
21/01/25,20,0,38744.22,6085.42,0.00,45374.65,0.00,0.00,0.00
22/01/25,17,1,35850.76,5736.12,0.00,42525.95,0.00,0.00,0.00
23/01/25,14,0,33796.45,5407.42,0.00,39863.15,0.00,0.00,0.00
24/01/25,9,2,7390.39,1182.46,0.00,8737.56,0.00,0.00,0.00
25/01/25,3,0,1061.74,169.88,0.00,1252.47,0.00,0.00,0.00
27/01/25,25,2,35548.82,5687.81,0.00,41777.32,0.00,0.00,0.00
28/01/25,21,1,39086.13,6253.79,0.00,46295.02,0.00,0.00,0.00
29/01/25,17,1,41085.05,6573.60,0.00,48653.56,0.00,0.00,0.00
30/01/25,16,1,29223.19,4675.70,0.00,34512.88,0.00,0.00,0.00
31/01/25,17,0,31231.01,4996.95,0.00,36690.89,0.00,0.00,0.00
01/02/25,11,0,25606.44,4097.02,0.00,30423.20,0.00,0.00,0.00
03/02/25,15,1,25004.77,4000.76,0.00,29394.61,0.00,0.00,0.00
04/02/25,21,2,74234.08,11877.44,0.00,86940.08,0.00,0.00,0.00
05/02/25,12,0,38684.99,6189.59,0.00,45593.60,0.00,0.00,0.00
06/02/25,9,1,17056.66,2729.06,0.00,19907.61,0.00,0.00,0.00
07/02/25,6,0,4493.03,718.87,0.00,5334.57,0.00,0.00,0.00
08/02/25,12,0,16603.95,2656.63,0.00,19351.56,0.00,0.00,0.00
10/02/25,12,1,40003.86,6400.62,0.00,46806.48,0.00,0.00,0.00
11/02/25,15,0,27938.08,4470.12,0.00,33175.33,0.00,0.00,0.00
12/02/25,10,0,41860.10,6697.62,0.00,49498.55,0.00,0.00,0.00
13/02/25,15,0,27635.08,4421.59,0.00,32795.46,0.00,0.00,0.00
14/02/25,13,0,50206.65,8033.06,0.00,59338.56,0.00,0.00,0.00
15/02/25,7,0,16860.58,2697.69,0.00,20051.11,0.00,0.00,0.00
17/02/25,7,1,16059.04,2569.44,0.00,18836.82,0.00,0.00,0.00
18/02/25,16,2,110373.83,17659.82,0.00,128576.61,0.00,0.00,0.00
19/02/25,19,1,35881.29,5741.01,0.00,41974.40,0.00,0.00,0.00
20/02/25,8,0,45030.52,7204.87,0.00,52462.41,0.00,0.00,0.00
21/02/25,5,0,7125.02,1140.00,0.00,8335.91,0.00,0.00,0.00
22/02/25,7,0,5175.34,828.06,0.00,6003.40,0.00,0.00,0.00
24/02/25,4,0,26211.78,4193.89,0.00,30883.83,0.00,0.00,0.00
25/02/25,16,0,24063.02,3850.08,0.00,28152.17,0.00,0.00,0.00
26/02/25,12,0,15415.06,2466.41,0.00,18171.46,0.00,0.00,0.00
27/02/25,14,3,22367.10,3578.74,0.00,26089.64,0.00,0.00,0.00
28/02/25,6,0,3998.67,639.79,0.00,4752.33,0.00,0.00,0.00
01/03/25,7,1,19928.31,3112.08,0.00,23147.76,0.00,0.00,0.00
05/03/25,10,1,79972.26,12795.54,0.00,93803.80,0.00,0.00,0.00
06/03/25,9,0,7391.37,1182.62,0.00,8662.52,0.00,0.00,0.00
07/03/25,9,1,12095.38,1935.25,0.00,14435.78,0.00,0.00,0.00
08/03/25,7,0,15813.09,2530.09,0.00,18540.24,0.00,0.00,0.00
10/03/25,13,1,19433.42,3109.36,0.00,23133.88,0.00,0.00,0.00
11/03/25,10,0,17369.38,2779.10,0.00,20437.20,0.00,0.00,0.00
12/03/25,8,0,4430.87,708.94,0.00,5277.88,0.00,0.00,0.00
13/03/25,9,0,11638.76,1862.19,0.00,13676.26,0.00,0.00,0.00
14/03/25,9,0,7453.20,1192.51,0.00,8753.58,0.00,0.00,0.00
15/03/25,7,0,26445.20,4231.23,0.00,30895.06,0.00,0.00,0.00
17/03/25,15,0,57980.16,9276.81,0.00,68528.71,0.00,0.00,0.00
18/03/25,7,0,16432.88,2629.26,0.00,19576.43,0.00,0.00,0.00
19/03/25,0,1,-561.38,-89.82,0.00,-651.20,0.00,0.00,0.00
20/03/25,7,0,36706.95,5873.12,0.00,42600.91,0.00,0.00,0.00
21/03/25,5,0,17935.64,2869.70,0.00,21270.54,0.00,0.00,0.00
22/03/25,5,0,9152.09,1464.34,0.00,10751.80,0.00,0.00,0.00
24/03/25,7,1,5175.93,828.16,0.00,6155.88,0.00,0.00,0.00
25/03/25,5,0,12240.87,1958.54,0.00,14199.42,0.00,0.00,0.00
26/03/25,7,0,12660.65,2025.71,0.00,14764.06,0.00,0.00,0.00
27/03/25,9,1,16760.54,2681.70,0.00,19757.65,0.00,0.00,0.00
28/03/25,15,1,44358.35,7097.32,0.00,51950.41,0.00,0.00,0.00
29/03/25,11,1,22269.99,3563.18,0.00,25985.65,0.00,0.00,0.00
31/03/25,5,0,38178.44,6108.54,0.00,45568.45,0.00,0.00,0.00
01/04/25,10,1,46794.80,7461.05,0.00,55111.12,0.00,0.00,0.00
02/04/25,10,0,51604.82,8256.77,0.00,61047.26,0.00,0.00,0.00
03/04/25,17,1,53195.35,8511.27,-0.01,62940.64,0.00,0.00,0.00
04/04/25,8,1,35346.60,5655.46,0.00,41002.06,0.00,0.00,0.00
05/04/25,12,0,20130.83,3220.93,0.00,23413.49,0.00,0.00,0.00
07/04/25,3,1,23617.29,3778.77,0.00,27396.06,0.00,0.00,0.00
08/04/25,10,0,38442.41,6150.79,0.00,44615.20,0.00,0.00,0.00
09/04/25,11,0,24373.73,3899.80,0.00,28656.93,0.00,0.00,0.00
10/04/25,10,0,15997.57,2559.61,0.00,18746.24,0.00,0.00,0.00
11/04/25,10,0,12310.48,1969.69,0.00,14374.43,0.00,0.00,0.00
12/04/25,12,0,13793.44,2206.94,0.00,16039.33,0.00,0.00,0.00
14/04/25,10,2,43834.31,7013.49,0.00,51468.12,0.00,0.00,0.00
15/04/25,11,2,35682.49,5709.20,0.00,41506.60,0.00,0.00,0.00
16/04/25,5,1,22144.87,3543.17,0.00,26519.98,0.00,0.00,0.00
21/04/25,7,0,44684.89,7149.58,0.00,52113.28,0.00,0.00,0.00
22/04/25,8,0,29488.40,4718.15,0.00,34240.33,0.00,0.00,0.00
23/04/25,8,0,14664.41,2346.30,0.00,17023.34,0.00,0.00,0.00
24/04/25,6,1,22592.99,3614.89,0.00,26207.88,0.00,0.00,0.00
25/04/25,8,0,11748.31,1879.73,0.00,13778.28,0.00,0.00,0.00
26/04/25,5,0,43563.52,6970.16,0.00,50566.72,0.00,0.00,0.00
28/04/25,4,0,7331.10,1172.98,0.00,8504.09,0.00,0.00,0.00
29/04/25,6,0,41412.38,6625.98,0.00,49288.88,0.00,0.00,0.00
30/04/25,10,0,37944.77,6071.18,0.00,44044.10,0.00,0.00,0.00
01/05/25,7,0,27043.53,4326.95,0.00,31596.21,0.00,0.00,0.00
02/05/25,1,0,145.45,23.27,0.00,168.72,0.00,0.00,0.00
03/05/25,5,0,9340.31,1494.44,0.00,10992.37,0.00,0.00,0.00
05/05/25,12,0,27028.54,4324.56,0.00,32197.98,0.00,0.00,0.00
06/05/25,14,1,17670.62,2827.30,0.00,20731.17,0.00,0.00,0.00
07/05/25,8,1,46515.34,7442.45,0.00,54048.10,0.00,0.00,0.00
08/05/25,10,1,19745.55,3159.29,0.00,23115.27,0.00,0.00,0.00
09/05/25,13,1,67777.76,10844.44,0.00,80386.29,0.00,0.00,0.00
10/05/25,5,0,14593.95,2335.03,0.00,17025.61,0.00,0.00,0.00
12/05/25,6,1,69591.29,11134.60,0.00,81186.21,0.00,0.00,0.00
13/05/25,11,1,29558.15,4729.28,0.00,35148.43,0.00,0.00,0.00
14/05/25,17,0,67559.13,10809.46,0.00,79025.05,0.00,0.00,0.00
15/05/25,19,2,79883.40,12358.02,0.00,93608.06,0.00,0.00,0.00
16/05/25,17,0,60724.70,9715.94,0.00,71463.49,0.00,0.00,0.00
17/05/25,11,1,12797.35,2047.58,0.00,14935.43,0.00,0.00,0.00
19/05/25,10,0,35914.42,5746.32,0.00,42225.68,0.00,0.00,0.00
20/05/25,8,0,26231.39,4197.02,0.00,30452.25,0.00,0.00,0.00
21/05/25,10,0,42095.92,6735.35,0.00,49677.00,0.00,0.00,0.00
22/05/25,13,1,52226.46,7918.79,0.00,61162.10,0.00,0.00,0.00
23/05/25,13,1,15682.41,2418.64,0.00,18225.49,0.00,0.00,0.00
24/05/25,9,0,16753.40,2680.54,0.00,19820.45,0.00,0.00,0.00
10/06/25,9,0,31292.65,5006.82,0.00,36777.33,0.00,0.00,0.00
11/06/25,17,1,83214.06,13314.25,0.00,97007.10,0.00,0.00,0.00
12/06/25,16,0,82995.84,13279.34,0.00,96668.58,0.00,0.00,0.00
13/06/25,8,0,58756.74,9401.09,0.00,68725.91,0.00,0.00,0.00
14/06/25,13,2,34972.28,5595.57,0.00,40555.30,0.00,0.00,0.00
16/06/25,5,2,28212.88,4514.05,0.00,32726.93,0.00,0.00,0.00
17/06/25,8,0,83562.87,13370.06,0.00,97699.12,0.00,0.00,0.00
18/06/25,14,1,73997.37,11839.57,0.00,86191.54,0.00,0.00,0.00
19/06/25,13,1,54412.32,8705.97,0.00,64448.11,0.00,0.00,0.00
20/06/25,14,0,66754.98,10680.80,0.00,78435.04,0.00,0.00,0.00
21/06/25,6,1,11151.92,1784.31,-0.01,13108.44,0.00,0.00,0.00
23/06/25,12,1,70019.15,11203.05,0.00,83787.57,0.00,0.00,0.00
24/06/25,5,1,10843.34,1734.93,0.00,12756.23,0.00,0.00,0.00
25/06/25,7,0,33041.11,5286.58,0.00,39159.09,0.00,0.00,0.00
26/06/25,6,0,7122.66,1139.63,0.00,8262.30,0.00,0.00,0.00
27/06/25,13,0,27755.02,4440.82,0.00,32459.83,0.00,0.00,0.00
28/06/25,5,0,30972.88,4955.66,0.00,35928.55,0.00,0.00,0.00
30/06/25,11,0,78067.15,12490.75,0.00,90683.56,0.00,0.00,0.00
01/07/25,17,1,26629.48,4260.72,0.00,31285.36,0.00,0.00,0.00
02/07/25,14,0,21671.15,3467.39,0.00,25138.55,0.00,0.00,0.00
03/07/25,7,0,10523.93,1683.83,0.00,12365.59,0.00,0.00,0.00
04/07/25,8,0,39627.87,6340.46,0.00,45968.33,0.00,0.00,0.00
05/07/25,8,1,17745.38,2839.26,0.00,20584.64,0.00,0.00,0.00
07/07/25,9,0,47293.02,7566.88,0.00,55401.55,0.00,0.00,0.00
08/07/25,7,0,54806.52,8769.05,0.00,64594.88,0.00,0.00,0.00
09/07/25,16,1,76863.02,12298.10,-0.01,89600.23,0.00,0.00,0.00
10/07/25,8,1,29509.03,4721.44,0.00,35106.61,0.00,0.00,0.00
11/07/25,13,0,38831.60,6213.06,0.00,45792.95,0.00,0.00,0.00
12/07/25,13,0,101104.48,16176.71,0.00,118509.19,0.00,0.00,0.00
15/07/25,13,2,33316.98,5330.72,0.00,38974.04,0.00,0.00,0.00
16/07/25,12,1,23256.76,3721.08,0.00,27579.57,0.00,0.00,0.00
17/07/25,10,1,44261.09,7081.78,0.00,52334.54,0.00,0.00,0.00
18/07/25,6,0,59423.75,9507.79,0.00,69964.21,0.00,0.00,0.00
19/07/25,7,0,7741.47,1238.64,0.00,9206.82,0.00,0.00,0.00
21/07/25,4,0,35414.32,5666.29,0.00,42138.42,0.00,0.00,0.00
22/07/25,8,0,16396.61,2623.47,0.00,19061.05,0.00,0.00,0.00
23/07/25,7,0,26428.93,4228.63,0.00,30657.59,0.00,0.00,0.00
24/07/25,5,0,31959.99,5113.59,0.00,38070.79,0.00,0.00,0.00
25/07/25,10,1,156874.76,25099.96,166879.20,15304.54,0.00,0.00,0.00
26/07/25,9,0,16766.85,2682.70,2825.84,16697.01,0.00,0.00,0.00
28/07/25,10,0,55288.66,8846.19,0.00,64274.31,0.00,0.00,0.00
29/07/25,17,1,23486.65,3757.87,0.00,27294.69,0.00,0.00,0.00
30/07/25,17,2,73142.81,11702.85,0.00,85555.98,0.00,0.00,0.00
31/07/25,8,0,22974.52,3675.92,0.00,27008.71,0.00,0.00,0.00
01/08/25,7,1,29780.09,4764.81,0.00,35076.10,0.00,0.00,0.00
02/08/25,11,0,32081.98,5133.12,0.00,37292.68,0.00,0.00,0.00
